City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mhamid,29.82,-5.72,17.75,23,0,1.62,MA,1710376756
1,port-aux-francais,-49.35,70.2167,5.47,84,100,3.97,TF,1710376968
2,mount gambier,-37.8333,140.7667,19.53,47,2,5.12,AU,1710376968
3,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,86,100,22.35,RU,1710376968
4,annau,37.8876,58.516,3.72,81,11,2.06,TM,1710376968
5,edinburgh of the seven seas,-37.0676,-12.3116,16.43,84,100,15.42,SH,1710376969
6,port elizabeth,-33.918,25.5701,18.39,85,40,5.66,ZA,1710376811
7,punta arenas,-53.15,-70.9167,7.06,70,40,10.29,CL,1710376751
8,prainha,-1.8,-53.48,24.14,98,100,1.52,BR,1710376969
9,codrington,-38.2667,141.9667,17.64,58,8,6.4,AU,1710376969
10,bredasdorp,-34.5322,20.0403,16.16,78,0,0.55,ZA,1710376970
11,west island,-12.1568,96.8225,25.99,83,40,4.63,CC,1710376817
12,cockburn town,21.4612,-71.1419,25.04,78,64,8.19,TC,1710376970
13,hami,42.8,93.45,6.4,36,100,3.85,CN,1710376971
14,college,64.8569,-147.8028,-12.13,55,75,0.45,US,1710376853
15,lebu,-37.6167,-73.65,15.21,87,4,1.6,CL,1710376971
16,camana,-16.6228,-72.7111,22.46,83,100,2.76,PE,1710376971
17,gassol,8.5333,10.4667,29.52,42,99,2.46,NG,1710376971
18,richards bay,-28.783,32.0377,22.43,91,100,5.97,ZA,1710376972
19,roccella ionica,38.322,16.4009,11.03,79,11,3.47,IT,1710376972
20,bethel,41.3712,-73.414,11.31,58,0,0.0,US,1710376972
21,kristiansund,63.1115,7.732,4.36,93,40,3.6,NO,1710376973
22,kayangel,8.0823,134.7173,27.34,80,13,8.35,PW,1710376973
23,freetown,8.484,-13.2299,27.84,78,20,6.17,SL,1710376974
24,ust-nera,64.5667,143.2,-22.2,91,97,1.3,RU,1710376974
25,albany,42.6001,-73.9662,13.23,63,53,0.45,US,1710376974
26,vilyuysk,63.7553,121.6247,-20.53,97,100,0.89,RU,1710376975
